prod_notif_no,ingredient_id
NOT201001161K,56
NOT201001161K,57
NOT180706458K,22
NOT180706458K,23
NOT180706458K,26
NOT221006409K,22
NOT221006409K,23
NOT221006409K,58
NOT221006409K,25
NOT221006409K,26
NOT221006409K,59
NOT221006409K,60
NOT221006409K,27
NOT220904068K,41
NOT220904068K,53
NOT220904068K,54
NOT220904068K,55
NOT220904068K,56
NOT220904068K,57
NOT220901485K,22
NOT220901485K,23
NOT220901485K,26
NOT220805656K,22
NOT220805656K,23
NOT220805656K,24
NOT220805656K,61
NOT220805656K,62
NOT220805656K,63
NOT220805656K,64
NOT220805656K,26
NOT220805656K,27
NOT221200952K,22
NOT221200952K,23
NOT221200952K,58
NOT221200952K,25
NOT221200952K,26
NOT221200952K,59
NOT221200952K,60
NOT221200952K,27
NOT221202975K,22
NOT221202975K,23
NOT221202975K,24
NOT221202975K,61
NOT221202975K,62
NOT221202975K,63
NOT221202975K,64
NOT221202975K,26
NOT221202975K,27
NOT221001103K,22
NOT221001103K,23
NOT221001103K,26
NOT221000509K,22
NOT221000509K,23
NOT221000509K,26
NOT220903908K,22
NOT220903908K,38
NOT220903908K,39
NOT220903908K,23
NOT220903908K,40
NOT220903908K,26
NOT221101728K,22
NOT221101728K,23
NOT221101728K,26
NOT221005194K,22
NOT221005194K,23
NOT221005194K,24
NOT221005194K,61
NOT221005194K,62
NOT221005194K,63
NOT221005194K,64
NOT221005194K,26
NOT221005194K,27
NOT221004235K,22
NOT221004235K,33
NOT221004235K,52
NOT221004235K,65
NOT221004235K,24
NOT221004235K,23
NOT221004235K,26
NOT221001013K,22
NOT221001013K,23
NOT221001013K,26
NOT221101451K,22
NOT221101451K,23
NOT221101451K,26
NOT220801976K,22
NOT220801976K,23
NOT220801976K,26
NOT181101250K,22
NOT181101250K,23
NOT181101250K,26
NOT200902705K,22
NOT200902705K,23
NOT200902705K,26
NOT220901365K,41
NOT220901365K,53
NOT220901365K,54
NOT220901365K,55
NOT220901365K,56
NOT220901365K,57
NOT200903634K,22
NOT200903634K,23
NOT200903634K,26
NOT181004884K,22
NOT181004884K,23
NOT181004884K,26
NOT220708269K,22
NOT220708269K,23
NOT220708269K,41
NOT220708269K,69
NOT220708269K,26
NOT220708269K,27
NOT200804268K,22
NOT200804268K,35
NOT200804268K,36
NOT200804268K,23
NOT200804268K,37
NOT200804268K,26
NOT200804268K,27
NOT200901739K,22
NOT200901739K,41
NOT200901739K,42
NOT200901739K,43
NOT200901739K,44
NOT200901739K,27
NOT200803465K,46
NOT200803465K,47
NOT200803465K,48
NOT200803465K,49
NOT200803465K,50
NOT200803465K,51
NOT200803465K,52
NOT221107526K,22
NOT221107526K,23
NOT221107526K,26
NOT221003626K,22
NOT221003626K,23
NOT221003626K,24
NOT221003626K,61
NOT221003626K,62
NOT221003626K,63
NOT221003626K,64
NOT221003626K,26
NOT221003626K,27
NOT201005282K,22
NOT201005282K,23
NOT201005282K,26
NOT221204888K,22
NOT221204888K,23
NOT221204888K,24
NOT221204888K,61
NOT221204888K,62
NOT221204888K,63
NOT221204888K,64
NOT221204888K,26
NOT221204888K,27
NOT220906181K,22
NOT220906181K,38
NOT220906181K,39
NOT220906181K,23
NOT220906181K,40
NOT220906181K,26
NOT221004245K,28
NOT221004245K,29
NOT221004245K,30
NOT221004245K,31
NOT221004245K,32
NOT221000936K,28
NOT221000936K,45
NOT221000936K,29
NOT221000936K,30
NOT221000936K,31
NOT221000936K,32
NOT181204366K,22
NOT181204366K,23
NOT181204366K,26
NOT200905285K,22
NOT200905285K,23
NOT200905285K,26
NOT181105307K,22
NOT181105307K,23
NOT181105307K,26
NOT220707827K,22
NOT220707827K,23
NOT220707827K,26
NOT200707024K,22
NOT200707024K,23
NOT200707024K,24
NOT200707024K,61
NOT200707024K,62
NOT200707024K,63
NOT200707024K,64
NOT200707024K,26
NOT200707024K,27
NOT221002262K,22
NOT221002262K,23
NOT221002262K,26
NOT220801299K,22
NOT220801299K,35
NOT220801299K,36
NOT220801299K,23
NOT220801299K,37
NOT220801299K,26
NOT220801299K,27
NOT221000563K,22
NOT221000563K,23
NOT221000563K,26
NOT221103894K,22
NOT221103894K,23
NOT221103894K,26
NOT221101652K,22
NOT221101652K,23
NOT221101652K,26
NOT221205690K,22
NOT221205690K,41
NOT221205690K,42
NOT221205690K,43
NOT221205690K,44
NOT221205690K,27
NOT221107999K,22
NOT221107999K,23
NOT221107999K,24
NOT221107999K,61
NOT221107999K,62
NOT221107999K,63
NOT221107999K,64
NOT221107999K,26
NOT221107999K,27
NOT200707945K,22
NOT200707945K,23
NOT200707945K,24
NOT200707945K,61
NOT200707945K,62
NOT200707945K,63
NOT200707945K,64
NOT200707945K,26
NOT200707945K,27
NOT220901634K,28
NOT220901634K,45
NOT220901634K,29
NOT220901634K,30
NOT220901634K,31
NOT220901634K,32
NOT221004976K,22
NOT221004976K,23
NOT221004976K,58
NOT221004976K,25
NOT221004976K,26
NOT221004976K,59
NOT221004976K,60
NOT221004976K,27
NOT201101354K,22
NOT201101354K,23
NOT201101354K,26
NOT201202276K,22
NOT201202276K,23
NOT201202276K,26
NOT221105696K,46
NOT221105696K,47
NOT221105696K,48
NOT221105696K,49
NOT221105696K,50
NOT221105696K,51
NOT221105696K,52
NOT220803863K,22
NOT220803863K,23
NOT220803863K,26
NOT221108240K,22
NOT221108240K,23
NOT221108240K,33
NOT221108240K,24
NOT221108240K,34
NOT221108240K,66
NOT221108240K,26
NOT161106438K,22
NOT161106438K,38
NOT161106438K,39
NOT161106438K,23
NOT161106438K,40
NOT161106438K,26
NOT221104154K,22
NOT221104154K,23
NOT221104154K,24
NOT221104154K,61
NOT221104154K,62
NOT221104154K,63
NOT221104154K,64
NOT221104154K,26
NOT221104154K,27
NOT221004106K,22
NOT221004106K,23
NOT221004106K,26
NOT221106940K,22
NOT221106940K,23
NOT221106940K,33
NOT221106940K,24
NOT221106940K,34
NOT221106940K,66
NOT221106940K,26
NOT200900788K,22
NOT200900788K,23
NOT200900788K,26
NOT221107308K,22
NOT221107308K,23
NOT221107308K,26
NOT220906343K,28
NOT220906343K,45
NOT220906343K,29
NOT220906343K,30
NOT220906343K,31
NOT220906343K,32
NOT221002248K,28
NOT221002248K,45
NOT221002248K,29
NOT221002248K,30
NOT221002248K,31
NOT221002248K,32
NOT200902301K,22
NOT200902301K,38
NOT200902301K,39
NOT200902301K,23
NOT200902301K,40
NOT200902301K,26
NOT220709927K,22
NOT220709927K,23
NOT220709927K,24
NOT220709927K,61
NOT220709927K,62
NOT220709927K,63
NOT220709927K,64
NOT220709927K,26
NOT220709927K,27
NOT221107038K,22
NOT221107038K,23
NOT221107038K,24
NOT221107038K,61
NOT221107038K,62
NOT221107038K,63
NOT221107038K,64
NOT221107038K,26
NOT221107038K,27
NOT200903379K,22
NOT200903379K,23
NOT200903379K,24
NOT200903379K,61
NOT200903379K,62
NOT200903379K,63
NOT200903379K,64
NOT200903379K,26
NOT200903379K,27
NOT221102974K,41
NOT221102974K,53
NOT221102974K,54
NOT221102974K,55
NOT221102974K,56
NOT221102974K,57
NOT221002592K,22
NOT221002592K,23
NOT221002592K,26
NOT180800708K,22
NOT180800708K,23
NOT180800708K,33
NOT180800708K,24
NOT180800708K,34
NOT180800708K,66
NOT180800708K,26
NOT201004977K,22
NOT201004977K,35
NOT201004977K,36
NOT201004977K,23
NOT201004977K,37
NOT201004977K,26
NOT201004977K,27
NOT181100098K,22
NOT181100098K,23
NOT181100098K,26
NOT160902441K,22
NOT160902441K,23
NOT160902441K,26
NOT221004735K,22
NOT221004735K,23
NOT221004735K,24
NOT221004735K,61
NOT221004735K,62
NOT221004735K,63
NOT221004735K,64
NOT221004735K,26
NOT221004735K,27
NOT220905246K,22
NOT220905246K,23
NOT220905246K,24
NOT220905246K,61
NOT220905246K,62
NOT220905246K,63
NOT220905246K,64
NOT220905246K,26
NOT220905246K,27
NOT221104277K,22
NOT221104277K,33
NOT221104277K,52
NOT221104277K,65
NOT221104277K,24
NOT221104277K,23
NOT221104277K,26
NOT140904387K,22
NOT140904387K,23
NOT140904387K,26
NOT221000331K,22
NOT221000331K,23
NOT221000331K,24
NOT221000331K,61
NOT221000331K,62
NOT221000331K,63
NOT221000331K,64
NOT221000331K,26
NOT221000331K,27
NOT220904618K,22
NOT220904618K,35
NOT220904618K,36
NOT220904618K,23
NOT220904618K,37
NOT220904618K,26
NOT220904618K,27
NOT221002223K,22
NOT221002223K,23
NOT221002223K,26
NOT221201124K,22
NOT221201124K,35
NOT221201124K,36
NOT221201124K,23
NOT221201124K,37
NOT221201124K,26
NOT221201124K,27
NOT220707986K,28
NOT220707986K,45
NOT220707986K,29
NOT220707986K,30
NOT220707986K,31
NOT220707986K,32
NOT181100832K,22
NOT181100832K,38
NOT181100832K,39
NOT181100832K,23
NOT181100832K,40
NOT181100832K,26
NOT221105077K,22
NOT221105077K,23
NOT221105077K,26
NOT220906440K,22
NOT220906440K,23
NOT220906440K,24
NOT220906440K,61
NOT220906440K,62
NOT220906440K,63
NOT220906440K,64
NOT220906440K,26
NOT220906440K,27
NOT221106102K,22
NOT221106102K,23
NOT221106102K,26
NOT220805462K,24
NOT220805462K,33
NOT220805462K,70
NOT220805462K,37
NOT220805462K,71
NOT220805462K,72
NOT220801244K,28
NOT220801244K,45
NOT220801244K,29
NOT220801244K,30
NOT220801244K,31
NOT220801244K,32
NOT221001838K,22
NOT221001838K,23
NOT221001838K,24
NOT221001838K,61
NOT221001838K,62
NOT221001838K,63
NOT221001838K,64
NOT221001838K,26
NOT221001838K,27
NOT221103916K,22
NOT221103916K,41
NOT221103916K,42
NOT221103916K,43
NOT221103916K,44
NOT221103916K,27
NOT221204340K,22
NOT221204340K,23
NOT221204340K,26
